customer_id,company,industry,country,signup_date,plan_level,billing_cycle,monthly_revenue,active_days,feature_usage_score,support_tickets,acquisition_channel,last_login_days_ago,nps_score,churned
1697,Cloudify,Real Estate,India,1/21/2024,Free,monthly,$60.16 ,9,9%,4,google ads,27,N/A,1
1181,Notion,Real Estate,UK,6/12/2024,Free,monthly,£0.26,27,69%,0,Organic,25,N/A,0
2007,Notion,FinTech,USA,15-03-2024,Free,monthly,$2.51 ,23,23%,3,google ads,23,N/A,0
1845,MarketPro,Healthcare,USA,6/28/2024,Free,Monthly,$14.10 ,16,124%,7,Google Ads,30+,N/A,0
1309,FinCorp,Education,U.K.,21-06-2024,Pro,Annual,£478.39,13,73%,3,Organic,12,N/A,0
1189,Notion,FinTech,UK,9/17/2024,Basic,Monthly,£104.63,1,80%,2,Organic,55,10,1
1203,MarketPro,E-commerce,USA,2/25/2024,Basic,Annual,$39.22 ,9,58%,7,Organic,34,10,1
1149,Notion,SaaS,UK,11/20/2024,Pro,Annual,£85.62,10+,71%,3,Google Ads,9,10,0
1663,Stripe,FinTech,America,9/7/2024,Basic,monthly,$84.30 ,10+,84%,3,Organic,9,10,0
1860,Notion,Education,Germany,18-01-2024,Basic,Annual,€60.51,10+,84%,3,Referral,9,10,0
1665,Salesforce,Real Estate,Germany,4/15/2024,Basic,Monthly,€63.2,10+,78%,3,Organic,14,10,0
1653,Notion,E-commerce,Germany,6/14/2024,Basic,Monthly,€50.06,10+,61%,2,Organic,10,10,0
1151,Stripe,Real Estate,America,3/4/2024,Pro,monthly,$886.02 ,10+,82%,1,Referral,0,10,0
2139,Cloudify,Education,UK,4/15/2024,Pro,Annual,£739.88,10+,68%,1,Organic,5,10,0
1670,HubSpot,Real Estate,UK,2/22/2024,Basic,Monthly,£128.39,10+,90%,1,Referral,9,10,0
1707,Stripe,Healthcare,U.S.A.,2/4/2024,Enterprise,Annual,"$1,423.42 ",10+,94%,0,Organic,1,10,0
1992,HubSpot,FinTech,UK,4/25/2024,Pro,Monthly,£344.71,10+,135%,0,Google Ads,5,10,0
1964,Notion,Real Estate,UK,8/13/2024,Enterprise,Annual,£678.89,10+,80%,0,google ads,6,10,0
1732,Stripe,Education,USA,2/4/2024,Enterprise,Annual,$673.74 ,10+,94%,0,Organic,7,10,0
1214,FinCorp,SaaS,UK,4/10/2024,Pro,Monthly,£91.61,10+,94%,0,Referral,2,10,0
1197,MarketPro,SaaS,USA,6/25/2024,Enterprise,Annual,$571.61 ,30,80%,0,LinkedIn Ads,3,10,0
2113,DataNest,Education,Germany,21-04-2024,Pro,monthly,€302.19,30,84%,0,Referral,30+,10,0
1045,MarketPro,FinTech,USA,5/9/2024,Pro,Monthly,$428.11 ,29,91%,1,Google Ads,3,10,0
2170,DataNest,FinTech,Germany,11/27/2024,Enterprise,Annual,€533.42,29,96%,0,Google Ads,2,10,0
1955,HubSpot,Real Estate,United Kingdom,1/24/2024,Pro,monthly,£85.94,28,81%,1,Organic,7,10,0
1370,DataNest,Healthcare,UK,7/4/2024,Pro,Annual,£114.13,26,59%,1,Google Ads,4,10,0
1619,MarketPro,E-commerce,Canada,9/27/2024,Basic,Monthly,$114.70 ,25,93%,1,Organic,15,10,0
1944,Stripe,Marketing,America,12/3/2024,Basic,monthly,$40.97 ,24,91%,1,Organic,3,10,0
1150,Salesforce,Real Estate,USA,9/7/2024,Basic,Monthly,$136.81 ,23,69%,1,Organic,7,10,0
1124,Zendesk,Marketing,Australia,6/28/2024,Pro,Annual,$224.24 ,23,91%,0,Google Ads,30+,10,0
1391,Notion,Healthcare,USA,24-07-2024,Basic,monthly,$41.38 ,22,73%,2,Referral,8,10,0
1447,Notion,Education,U.K.,7/4/2024,Pro,Annual,£166.99,22,97%,0,Referral,2,10,0
1379,DataNest,SaaS,UK,12/12/2024,Pro,ANNUAL,£128.29,21,75%,2,Referral,30+,10,0
2055,DataNest,Education,UK,3/23/2024,Basic,Annual,£128.15,21,67%,1,Organic,5,10,0
1317,Salesforce,SaaS,USA,3/1/2024,Pro,Annual,$268.33 ,21,97%,0,Organic,3,10,0
1569,Stripe,FinTech,U.S.A.,7/18/2024,Pro,Annual,$237.35 ,20,75%,1,LinkedIn Ads,7,10,0
1134,Cloudify,FinTech,USA,1/20/2024,Free,monthly,$2.52 ,19,33%,3,Organic,30+,10,0
1261,Salesforce,Marketing,USA,7/1/2024,Basic,Monthly,$188.37 ,19,83%,1,Organic,9,10,0
1277,FinCorp,SaaS,America,3/1/2024,Basic,Annual,$161.58 ,18,39%,3,Google Ads,30+,10,0
1501,Zendesk,FinTech,USA,12/17/2024,Pro,Monthly,$236.87 ,18,100%,2,Referral,5,10,0
1192,HubSpot,FinTech,UK,5/21/2024,Enterprise,Annual,£536.74,18,82%,1,Organic,0,10,0
1354,DataNest,Education,Germany,12/23/2024,Enterprise,ANNUAL,€1737.06,17,90%,3,Google Ads,4,10,0
1626,Salesforce,Real Estate,USA,2/3/2024,Enterprise,ANNUAL,$125.53 ,17,80%,1,google ads,7,10,0
